pid,condition,condition_type,beginHit,beginExp,endHit,totalTime,attempts,genEdu,comEdu,age,gender,qUnd,qDes,feedback,cheatTrials,status,numberClicks,rews_exp,rews_exp_total,rews_exp_mean,scores,pa_mean,pa_complete,pa_et
131,1,actionfeedback,2020-10-01 00:23:14.109342,2020-10-01 00:33:12.259271,2020-10-01 00:37:13.007613,13.8,0,College degree,No,30,female,-,-,,10,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,"[-15, 25, -5, 5, -10, 0, 30, -5, 10, 0]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.49, 5.286, 5.827, 6.431, 5.644, 7.0, 4.654, 6.021, 4.599, 5.752]"
132,1,actionfeedback,2020-10-01 00:26:26.215247,2020-10-01 00:34:34.625843,2020-10-01 00:40:38.765407,13.7,0,High school graduate,No,56,female,-,-,,0,4,"[1, 1, 1, 1, 2, 3, 1, 2, 1, 1]","[-1, 9, 4, -1, 3, 2, 9, 3, 9, 4]",41.0,4.1,"[4, 24, 14, -6, -7, 7, -6, -12, 14, -1]",0.2081,"[0.209, 0.25, 0.182, 0.157, 0.182, 0.286, 0.25, 0.167, 0.25, 0.148]","[3.779, 3.0, 4.497, 5.365, 3.496, 4.0, 3.0, 4.0, 3.0, 5.766]"
133,1,actionfeedback,2020-10-01 00:32:47.912439,2020-10-01 00:38:00.704776,2020-10-01 00:43:00.990965,9.9,0,College degree,No,36,male,-,-,,0,4,"[12, 12, 5, 10, 9, 5, 5, 10, 3, 12]","[-7, -7, 5, 0, 6, 5, 15, 0, 27, -2]",42.0,4.2,"[-7, -7, 5, 0, 6, 5, 15, 0, 27, -2]",0.6072,"[0.385, 0.385, 0.5, 0.5, 0.636, 0.833, 1.0, 0.818, 0.4, 0.615]","[0, 0, 0, 2.0, 2.0, 0, 0, 0, 2.0, 0]"
134,1,actionfeedback,2020-10-01 00:42:13.825008,2020-10-01 00:46:45.609945,2020-10-01 00:51:02.225344,8.5,0,High school graduate,No,48,male,-,-,,0,4,"[3, 3, 3, 3, 3, 3, 9, 10, 2, 6]","[2, 7, 7, 2, 2, 7, 1, -5, 8, 9]",40.0,4.0,"[12, 7, 12, -13, 2, 2, -9, -5, -7, 19]",0.1931,"[0.0, 0.25, 0.25, 0.0, 0.0, 0.25, 0.25, 0.455, 0.333, 0.143]","[3.748, 0, 0, 5.89, 3.601, 0, 3.0, 0, 0, 0]"
135,1,actionfeedback,2020-10-01 00:43:46.460045,2020-10-01 00:49:03.818601,2020-10-01 00:54:09.909251,9.9,0,College degree,No,31,Female,-,-,,2,4,"[0, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[0, -1, -1, 9, 0, -1, 9, -1, 4, -1]",17.0,1.7,"[10, 4, -11, -1, 5, -26, 24, 19, 4, -11]",0.1699,"[0.0, 0.178, 0.195, 0.25, 0.0, 0.181, 0.25, 0.222, 0.2, 0.223]","[4.91, 4.633, 4.126, 3.0, 6.699, 4.513, 3.0, 3.502, 4.0, 3.477]"
136,1,actionfeedback,2020-10-01 00:59:53.476419,2020-10-01 01:05:16.796425,2020-10-01 01:09:00.637133,8.9,0,High school graduate,No,20,male,-,-,,0,4,"[9, 12, 12, 12, 12, 12, 12, 12, 12, 4]","[-4, -2, 18, 3, 13, 3, 8, -2, -2, 21]",56.0,5.6,"[-9, -2, 18, 3, 13, 3, 8, -2, -2, 21]",0.5197,"[0.167, 0.462, 0.308, 0.615, 0.692, 0.385, 0.538, 0.692, 0.538, 0.8]","[3.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
137,1,actionfeedback,2020-10-01 00:10:42.318054,2020-10-01 00:15:44.190581,2020-10-01 00:20:17.831799,9.2,0,High school graduate,No,40,Female,-,-,I've never played this before.  It was interesting.  I wish I would have done better.,10,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,"[30, 0, 20, 0, 15, 25, 5, 25, 5, -5]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.661, 5.334, 4.592, 3.71, 4.67, 4.811, 5.62, 4.559, 5.859, 5.646]"
138,1,actionfeedback,2020-09-30 22:32:34.188618,2020-09-30 22:42:00.33448,2020-09-30 22:46:14.50246,13.4,0,College degree,No,63,female,-,-,,10,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,"[30, 0, -5, -10, 10, -5, -5, -10, 20, 25]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.616, 4.196, 5.669, 5.259, 4.15, 5.637, 5.476, 5.713, 4.715, 5.258]"
139,1,actionfeedback,2020-09-30 23:33:02.100659,2020-09-30 23:38:46.549614,2020-09-30 23:41:51.467664,8.4,0,College degree,No,35,male,-,-,,0,4,"[12, 6, 10, 12, 6, 6, 6, 8, 6, 6]","[8, 4, -5, -2, -1, 4, 4, 12, 4, -1]",27.0,2.7,"[8, 14, -5, -2, -16, 4, 9, 22, 4, -6]",0.1147,"[0.077, 0.143, 0.167, 0.231, 0.0, 0.143, 0.143, 0.1, 0.143, 0.0]","[0, 0, 2.0, 0, 4.771, 0, 0, 2.0, 0, 3.46]"
140,1,actionfeedback,2020-09-30 23:33:22.580336,2020-09-30 23:36:38.518879,2020-09-30 23:40:31.615202,6.9,0,College degree,No,28,Male,-,-,,0,4,"[7, 11, 5, 5, 6, 5, 7, 4, 10, 6]","[8, -1, 10, 5, 9, 20, 8, 21, -5, 9]",84.0,8.4,"[3, -1, 0, 5, 9, 20, 8, 21, -5, 9]",0.4015,"[0.0, 0.25, 0.125, 0.143, 0.571, 0.833, 0.5, 0.8, 0.364, 0.429]","[3.0, 0, 3.0, 2.0, 0, 0, 0, 0, 0, 0]"
