pid,condition,conditionType,status,totalTime,attemptsQuiz1,gender,age,MLcheatTrials,RTscores,RTscoresMean,ML_pa_mean,ML_pa_complete,RT_pa_mean,RT_pa_complete,RT_et_complete,RT_pa_meanFH,RT_pa_meanFT
68,1,Supported Training,2,,2,-,-,0,"[320, 405, 405]",376.6667,0.9,"[0.8333333333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.6666666666666666, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0]","[0, 0, 0]",1.0,1.0
69,1,Supported Training,3,15.8,1,Female,30,0,"[195, 575, 450, 420, 255, 360, 190, 415]",357.5,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.5208,"[0.5, 0.5, 0.0, 0.6666666666666666, 0.5, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]","[0, 0, 0, 0, 0, 0, 0, 0]",0.4167,0.5
70,1,Supported Training,3,29.6,3,male,57,0,"[220, 245, 245, 450, 220, 215, 385, 315]",286.875,0.95,"[0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.5417,"[0.3333333333333333, 0.0, 0.3333333333333333, 0.5, 0.6666666666666666, 0.5, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.2917,0.3333
71,1,Supported Training,3,13.7,4,Female,19,0,"[200, 415, 270, 410, 395, 320, 335, 310]",331.875,0.94,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.4, 1.0, 1.0]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
72,1,Supported Training,3,17.0,3,male,50,0,"[430, 235, 430, 240, 305, 165, 225, 435]",308.125,0.9833,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.8333333333333334, 1.0, 1.0, 1.0, 1.0]",0.8542,"[1.0, 0.3333333333333333, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.7083,1.0
73,1,Supported Training,3,28.2,10,male,32,1,"[380, 210, 400, 215, 325, 240, 200, 350]",290.0,0.8333,"[0.0, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.8125,"[1.0, 0.5, 1.0, 0.3333333333333333, 0.6666666666666666, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.7083,1.0
74,1,Supported Training,4,12.2,1,Female,20,0,"[255, 235, 355, 320, 220, 390, 275, 380]",303.75,0.96,"[1.0, 1.0, 1.0, 1.0, 0.6, 1.0, 1.0, 1.0, 1.0, 1.0]",0.7917,"[0.0, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5833,0.0
75,1,Supported Training,4,30.8,5,Male,20,0,"[215, 265, 230, 515, 390, 495, 195, 255]",320.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.8125,"[0.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.625,0.0
76,1,Supported Training,4,22.0,2,Male,34,0,"[560, 190, 235, 320, 410, 220, 505, 210]",331.25,0.75,"[0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.5, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0]",0.5417,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.3333333333333333, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.25,0.0
77,1,Supported Training,4,22.2,1,male,28,1,"[530, 315, 245, 295, 360, 155, 225, 360]",310.625,0.8,"[0.0, 1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 0.6666666666666666, 1.0]",0.6875,"[0.0, 0.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.375,0.0
78,1,Supported Training,4,13.9,2,Male,43,0,"[500, 215, 310, 415, 200, 200, 275, 280]",299.375,0.95,"[1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.875,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.75,0.0
79,1,Supported Training,4,11.1,1,-,-,0,"[225, 220, 210, 320, 315, 380, 520, 335]",315.625,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.8125,"[1.0, 1.0, 0.5, 1.0, 1.0, 0.5, 1.0, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0]",0.875,1.0
80,1,Supported Training,4,21.4,2,female,34,0,"[250, 255, 285, 195, 335, 440, 275, 195]",278.75,0.87,"[0.2, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.8333,"[0.5, 1.0, 1.0, 1.0, 1.0, 0.5, 0.6666666666666666, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.875,0.5
81,1,Supported Training,4,11.9,3,Female,40,0,"[215, 635, 515, 315, 155, 255, 440, 315]",355.625,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
82,1,Supported Training,4,29.2,1,female ,44,0,"[295, 395, 350, 300, 440, 155, 340, 470]",343.125,0.0333,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8229,"[0.25, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.6458,0.25
83,1,Supported Training,4,14.6,1,female,26,1,"[350, 200, 270, 220, 200, 205, 280, 250]",246.875,0.8333,"[0.0, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.6146,"[0.0, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 0.75, 1.0, 1.0, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0]",0.4167,0.0
84,1,Supported Training,4,26.9,1,male,35,0,"[280, 280, 220, 225, 370, 220, 425, 205]",278.125,0.3333,"[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.6666666666666666, 0.6666666666666666]",0.75,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5,0.0
85,1,Supported Training,4,17.9,1,Female,20,0,"[190, 315, 535, 395, 385, 400, 185, 210]",326.875,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.3438,"[0.6666666666666666, 0.25, 0.0, 0.0, 0.3333333333333333, 0.5, 0.5, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0]",0.2292,0.6667
86,1,Supported Training,4,18.5,1,Male,29,0,"[395, 205, 185, 545, 220, 240, 185, 245]",277.5,0.9333,"[0.5, 1.0, 1.0, 1.0, 0.8333333333333334, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9375,"[0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.875,0.5
87,1,Supported Training,4,15.9,2,Male,27,0,"[445, 175, 150, 320, 420, 265, 465, 250]",311.25,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
88,1,Supported Training,4,17.0,2,Male,36,0,"[450, 475, 295, 220, 460, 250, 290, 270]",338.75,0.9,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9583,"[0.6666666666666666, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.9167,0.6667
89,1,Supported Training,4,18.4,1,Female,35,0,"[190, 325, 255, 200, 255, 360, 285, 280]",268.75,0.64,"[0.5, 0.4, 0.5, 0.5, 0.5, 1.0, 0.6666666666666666, 0.8333333333333334, 0.5, 1.0]",0.75,"[0.5, 1.0, 0.5, 1.0, 0.3333333333333333, 1.0, 0.6666666666666666, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.75,0.5
90,1,Supported Training,4,23.2,2,Female,34,0,"[255, 375, 305, 275, 160, 360, 355, 265]",293.75,0.7333,"[1.0, 1.0, 0.5, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.5, 0.6666666666666666, 1.0, 1.0]",0.8333,"[0.5, 1.0, 1.0, 1.0, 0.6666666666666666, 1.0, 1.0, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0]",0.875,0.5
91,1,Supported Training,4,14.1,2,Male,28,10,"[270, 540, 455, 340, 355, 165, 250, 410]",348.125,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
92,1,Supported Training,4,43.0,1,Male,33,0,"[240, 310, 355, 225, 355, 285, 275, 220]",283.125,0.5,"[0.3333333333333333, 1.0, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.5, 0.5]",0.9167,"[0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.8333,0.6667
93,1,Supported Training,4,23.5,3,Male,20,0,"[260, 215, 275, 280, 300, 455, 505, 295]",323.125,0.4433,"[0.2, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.4, 0.3333333333333333, 0.6666666666666666, 0.5]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.0,1.0
94,1,Supported Training,4,25.4,6,m,36,0,"[290, 345, 375, 365, 230, 225, 320, 195]",293.125,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.75,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5,0.0
95,1,Supported Training,4,15.9,2,Male,29,0,"[415, 495, 455, 395, 195, 540, 510, 375]",422.5,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.6875,"[0.0, 0.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.375,0.0
96,1,Supported Training,4,30.7,1,female,55,0,"[275, 345, 240, 265, 315, 180, 450, 490]",320.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.4583,"[0.3333333333333333, 0.5, 0.5, 0.3333333333333333, 0.5, 0.5, 0.6666666666666666, 0.3333333333333333]","[0, 0, 0, 0, 0, 0, 0, 0]",0.4167,0.3333
97,1,Supported Training,4,14.7,2,Female,24,0,"[445, 270, 365, 410, 300, 250, 505, 390]",366.875,0.8667,"[1.0, 1.0, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9583,"[1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.0,1.0
