pid,condition,condition_type,beginHit,beginExp,endHit,totalTime,attempts,genEdu,comEdu,age,gender,qUnd,qDes,feedback,cheatTrials,status,numberClicks,rews_exp,rews_exp_total,rews_exp_mean,scores,pa_mean,pa_complete,pa_et
154,1,actionfeedback,2020-09-23 16:16:03.960614,2020-09-23 16:21:22.983261,2020-09-23 16:24:57.268269,8.4,0,College degree,No,26,Male,-,-,"This was fun, it made you think. I'll be interested to know how well my strategy worked.",0,4,"[3, 4, 5, 4, 3, 4, 3, 6, 6, 9]","[45, 44, 47, 44, 45, 44, 45, 18, 42, 23]",397.0,39.7,"[51, 48, 51, 46, 45, 50, 39, 18, 42, 27]",0.5093,"[0.75, 0.8, 0.25, 0.8, 0.75, 0.4, 0.188, 0.385, 0.308, 0.462]","[0, 0, 3.01, 0, 0, 0, 2.312, 7.0, 7.0, 4.0]"
155,1,actionfeedback,2020-09-23 16:17:27.883759,2020-09-23 16:22:09.963501,2020-09-23 16:26:48.901941,9.2,0,College degree,No,42,Female,-,-,,0,4,"[3, 6, 6, 10, 6, 8, 8, 8, 7, 6]","[1, -4, 4, 16, 6, 50, 46, 22, 49, 42]",232.0,23.2,"[-15, 20, -20, 16, 54, 50, 46, 22, 45, 48]",0.1468,"[0.0, 0.0, 0.0, 0.364, 0.0, 0.087, 0.333, 0.222, 0.308, 0.154]","[4.571, 2.747, 4.571, 0, 2.77, 3.477, 0, 0, 6.0, 7.0]"
156,1,actionfeedback,2020-09-23 16:20:20.926175,2020-09-23 16:23:09.368894,2020-09-23 16:27:27.742922,6.9,0,College degree,Yes,31,Male,-,-,,0,4,"[3, 6, 12, 10, 11, 9, 10, 10, 11, 6]","[-1, 24, 36, 34, 39, 37, 44, 50, 27, 18]",308.0,30.8,"[-45, 24, 36, 34, 39, 45, 44, 50, 27, 24]",0.2656,"[0.0, 0.115, 0.462, 0.231, 0.231, 0.308, 0.308, 0.308, 0.385, 0.308]","[4.563, 2.659, 0, 3.0, 2.0, 4.0, 3.0, 3.0, 2.0, 7.0]"
157,1,actionfeedback,2020-09-23 16:18:38.993865,2020-09-23 16:24:10.174975,2020-09-23 16:29:26.206179,10.4,0,High school graduate,No,30,Male,-,-,Everything was clear and easy to understand. Very interesting and fun thanks for letting me participate!,0,4,"[3, 4, 5, 6, 9, 7, 4, 5, 11, 6]","[45, 48, 47, 38, 35, 39, 48, 37, 13, 44]",394.0,39.4,"[53, 56, 39, 46, 35, 31, 44, 37, 13, 40]",0.4048,"[0.5, 0.4, 0.5, 0.429, 0.174, 0.5, 0.4, 0.133, 0.583, 0.429]","[0, 0, 0, 0, 2.512, 0, 0, 2.53, 0, 0]"
158,1,actionfeedback,2020-09-23 16:22:51.885371,2020-09-23 16:25:15.46868,2020-09-23 16:28:13.997566,5.2,0,College degree,Yes,31,male,-,-,,0,4,"[6, 6, 6, 12, 6, 12, 12, 10, 4, 6]","[54, 38, 50, 24, 46, 26, 14, 46, 54, 18]",370.0,37.0,"[54, 38, 50, 24, 46, 26, 14, 46, 54, 24]",0.3812,"[0.429, 0.286, 0.429, 0.538, 0.286, 0.462, 0.462, 0.385, 0.15, 0.385]","[0, 0, 0, 0, 0, 0, 0, 3.0, 2.657, 7.0]"
159,1,actionfeedback,2020-09-23 16:24:55.675882,2020-09-23 16:27:13.01412,2020-09-23 16:34:55.081605,9.8,0,High school graduate,No,43,female,-,-,,10,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,"[-46, 12, -54, 28, -38, 22, 60, -58, -40, 54]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.189, 2.738, 3.366, 2.748, 3.373, 3.35, 2.755, 2.77, 2.745, 3.332]"
160,1,actionfeedback,2020-09-23 16:50:26.944606,2020-09-23 16:53:07.689005,2020-09-23 16:56:33.571467,5.9,0,College degree,No,21,Male,-,-,,0,4,"[9, 12, 11, 7, 10, 10, 3, 3, 10, 10]","[39, 44, 35, 49, 14, 28, 45, 45, 44, 42]",385.0,38.5,"[39, 44, 43, 49, 14, 28, 41, 37, 44, 42]",0.4648,"[0.3, 0.308, 0.5, 0.25, 0.462, 0.462, 0.75, 1.0, 0.231, 0.385]","[0, 0, 0, 0, 3.0, 3.0, 0, 0, 3.0, 3.0]"
161,1,actionfeedback,2020-09-23 16:26:21.700603,2020-09-23 16:30:47.809366,2020-09-23 16:44:48.048285,17.7,0,College degree,No,41,female,-,-,I couldn't figure out what was the logic.,4,4,"[1, 1, 1, 0, 0, 0, 1, 0, 1, 1]","[-1, -1, -1, 0, 0, 0, -1, 0, -1, -1]",-6.0,-0.6,"[29, 19, 45, 36, -48, 24, 23, -46, -43, -31]",0.1571,"[0.25, 0.333, 0.285, 0.0, 0.0, 0.0, 0.25, 0.0, 0.253, 0.2]","[2.998, 2.0, 2.512, 4.433, 2.377, 2.404, 2.998, 3.335, 2.959, 4.0]"
162,1,actionfeedback,2020-09-23 16:23:16.76752,2020-09-23 16:32:49.374834,2020-09-23 16:36:44.288958,13.2,0,High school graduate,Yes,42,Male,-,-,It was interesting.,0,4,"[3, 3, 3, 3, 3, 3, 4, 3, 3, 3]","[21, 21, 1, 5, 45, 45, 52, 45, 21, 45]",301.0,30.1,"[39, 19, 45, -17, 57, 37, 48, 51, 25, 49]",0.4852,"[0.5, 0.75, 0.182, 0.193, 1.0, 0.375, 0.143, 0.334, 1.0, 0.375]","[0, 0, 2.502, 2.189, 0, 2.34, 3.016, 2.996, 0, 2.334]"
163,1,actionfeedback,2020-09-23 16:20:39.993035,2020-09-23 16:32:49.387816,2020-09-23 16:39:10.205478,17.0,0,High school graduate,Yes,45,Female,-,-,Thank you for allowing me to participate in your study.,0,4,"[8, 12, 10, 11, 10, 10, 10, 8, 6, 10]","[50, 18, 34, 41, 46, 14, 46, 38, 42, 38]",367.0,36.7,"[50, 18, 34, 41, 46, 14, 46, 38, 44, 38]",0.3807,"[0.222, 0.385, 0.385, 0.385, 0.385, 0.692, 0.462, 0.154, 0.429, 0.308]","[0, 0, 3.0, 2.0, 3.0, 3.0, 3.0, 5.0, 0, 3.0]"
164,1,actionfeedback,2020-09-23 16:31:21.596724,2020-09-23 16:36:37.672159,2020-09-23 16:40:42.29055,8.1,0,High school graduate,No,31,Male,-,-,That was a pretty fun study to complete. Everything went smoothly. ,0,4,"[8, 10, 8, 7, 8, 6, 8, 6, 6, 8]","[36, 44, 48, 37, 44, 42, 48, 42, 42, 16]",399.0,39.9,"[36, 44, 52, 33, 48, 50, 44, 42, 48, 22]",0.416,"[0.444, 0.308, 0.385, 0.385, 0.385, 0.308, 0.385, 0.714, 0.308, 0.538]","[0, 3.0, 5.0, 6.0, 5.0, 7.0, 5.0, 0, 7.0, 5.0]"
165,1,actionfeedback,2020-09-23 16:33:39.888795,2020-09-23 16:40:10.212945,2020-09-23 16:47:42.331939,13.5,0,College degree,No,43,female,-,-,None,0,4,"[7, 12, 12, 11, 12, 12, 12, 12, 12, 12]","[43, 32, 10, 19, 26, 36, 32, 34, 14, 40]",286.0,28.6,"[43, 32, 10, 19, 26, 36, 32, 34, 14, 40]",0.3484,"[0.25, 0.462, 0.462, 0.308, 0.385, 0.308, 0.385, 0.231, 0.308, 0.385]","[0, 0, 0, 2.0, 0, 0, 0, 0, 0, 0]"
166,1,actionfeedback,2020-09-23 16:34:21.087743,2020-09-23 16:40:33.87513,2020-09-23 16:46:43.498767,10.8,0,College degree,No,26,Female,-,-,"That was pretty fun, since I was playing for a bonus but didn't have to stress too much because the base pay was already generous. Thanks :) One thing that was unclear to me the whole time was how you determine how much a participant's bonus is. But again, didn't stress too much!",0,4,"[6, 9, 5, 9, 8, 4, 4, 9, 12, 8]","[38, 45, 31, 21, 40, 52, 52, 35, 14, 50]",378.0,37.8,"[38, 45, 31, 21, 40, 52, 52, 35, 8, 50]",0.4089,"[0.286, 0.4, 0.333, 0.231, 0.333, 0.6, 0.6, 0.4, 0.462, 0.444]","[0, 0, 0, 4.0, 0, 0, 0, 0, 0, 0]"
167,1,actionfeedback,2020-09-23 16:37:57.864417,2020-09-23 16:41:59.598956,2020-09-23 16:48:53.696827,10.6,0,College degree,No,68,female,-,-,,3,4,"[1, 1, 0, 0, 2, 3, 3, 0, 6, 3]","[3, -1, 0, 0, -2, -1, 1, 0, -6, 45]",39.0,3.9,"[55, -37, -18, -48, 46, 19, 21, -12, 18, 45]",0.075,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.75]","[2.726, 2.759, 2.702, 2.383, 2.378, 2.734, 2.737, 2.379, 2.383, 0]"
168,1,actionfeedback,2020-09-23 16:35:17.042241,2020-09-23 16:44:51.866579,2020-09-23 16:54:55.392327,18.8,0,College degree,Yes,22,male,-,-,,10,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,"[44, 14, 30, 14, -40, -46, 20, -30, 24, -24]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.752, 2.384, 2.778, 2.421, 2.745, 3.335, 2.154, 2.398, 2.394, 2.744]"
169,1,actionfeedback,2020-09-23 16:40:37.704066,2020-09-23 16:46:50.768773,2020-09-23 16:53:12.918421,12.4,0,College degree,No,28,Female,-,-,,0,4,"[3, 3, 3, 3, 8, 6, 2, 2, 2, 2]","[-5, 35, 23, 23, 40, 18, 46, 46, 46, 46]",318.0,31.8,"[-21, 35, 19, 19, 40, 24, 42, 46, 40, 50]",0.5131,"[0.0, 0.5, 0.5, 0.154, 0.381, 0.714, 0.667, 0.215, 1.0, 1.0]","[2.811, 0, 0, 3.497, 2.497, 0, 0, 2.653, 0, 0]"
170,1,actionfeedback,2020-09-23 16:42:12.183461,2020-09-23 16:47:50.426348,2020-09-23 16:55:55.237083,13.4,0,College degree,No,44,Male,-,-,,0,4,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[1, -1, -1, -1, 1, -5, 1, -1, 1, 5]",0.0,0.0,"[41, 19, 27, 51, 57, 15, -55, -21, -19, -21]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.399, 2.73, 2.789, 2.164, 3.382, 2.418, 2.703, 4.569, 3.34, 2.751]"
171,1,actionfeedback,2020-09-23 16:26:34.504831,2020-09-23 16:30:50.263763,2020-09-23 16:40:39.973597,13.7,0,High school graduate,Yes,36,Female,-,-,,7,4,"[0, 0, 0, 0, 0, 0, 0, 2, 1, 3]","[0, 0, 0, 0, 0, 0, 0, -2, 1, -1]",-2.0,-0.2,"[26, -34, -12, -20, 18, -54, 36, 46, -43, 43]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.164, 3.337, 2.395, 3.385, 2.385, 2.799, 3.264, 2.387, 3.428, 2.754]"
172,1,actionfeedback,2020-09-23 16:09:19.718081,2020-09-23 16:13:49.058339,2020-09-23 16:17:16.512978,7.8,0,College degree,No,39,f,-,-,none,0,3,"[3, 3, 3, 3, 3, 3, 8, 6, 6, 6]","[1, 5, 1, 1, 1, 5, 48, 42, 42, 18]",164.0,16.4,"[-31, 55, 53, 21, 51, -15, 48, 50, 42, 14]",0.2033,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.231, 0.857, 0.714, 0.231]","[3.318, 3.336, 2.763, 2.727, 2.172, 2.393, 5.0, 0, 0, 7.0]"
