pid,trial,task,numberClicks,clicks,score,FSQ,CA,status,dropoutIndex,condition,conditionType,age,gender,naive,feedback,totalTime,firstBlock,exclusion,RT_attemptsQuiz,MG_attemptsQuiz
5,6,mortgage,3,"[0, 8, 2]",1,0.6666666666666666,0.6666666666666666,3,5,0,control,74,female,False,It was fun!,18.9,mortgage,True,3,1
5,7,mortgage,3,"[0, 1, 2]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,74,female,False,It was fun!,18.9,mortgage,True,3,1
6,0,mortgage,3,"[2, 4, 8]",1,0.6666666666666666,0.6666666666666666,3,5,0,control,29,female,False,,8.3,mortgage,True,1,1
6,1,mortgage,3,"[4, 8, 0]",1,0.3333333333333333,0.3333333333333333,3,5,0,control,29,female,False,,8.3,mortgage,True,1,1
6,2,mortgage,3,"[8, 5, 2]",1,1.0,1.0,3,5,0,control,29,female,False,,8.3,mortgage,True,1,1
6,3,mortgage,3,"[6, 3, 0]",0,0.0,0.0,3,5,0,control,29,female,False,,8.3,mortgage,True,1,1
6,4,mortgage,3,"[4, 7, 1]",0,0.0,0.0,3,5,0,control,29,female,False,,8.3,mortgage,True,1,1
6,5,mortgage,3,"[5, 8, 7]",1,0.6666666666666666,0.6666666666666666,3,5,0,control,29,female,False,,8.3,mortgage,True,1,1
6,6,mortgage,3,"[0, 3, 6]",0,0.0,0.0,3,5,0,control,29,female,False,,8.3,mortgage,True,1,1
6,7,mortgage,3,"[2, 4, 6]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,29,female,False,,8.3,mortgage,True,1,1
7,0,mortgage,3,"[1, 4, 7]",0,0.0,0.0,3,5,0,control,28,female,False,,15.7,mortgage,True,2,1
7,1,mortgage,3,"[7, 4, 1]",0,0.0,0.0,3,5,0,control,28,female,False,,15.7,mortgage,True,2,1
7,2,mortgage,3,"[7, 4, 1]",0,0.0,0.0,3,5,0,control,28,female,False,,15.7,mortgage,True,2,1
7,3,mortgage,3,"[7, 4, 1]",0,0.0,0.0,3,5,0,control,28,female,False,,15.7,mortgage,True,2,1
7,4,mortgage,3,"[7, 4, 1]",0,0.0,0.0,3,5,0,control,28,female,False,,15.7,mortgage,True,2,1
7,5,mortgage,3,"[7, 4, 1]",0,0.0,0.0,3,5,0,control,28,female,False,,15.7,mortgage,True,2,1
7,6,mortgage,3,"[7, 4, 1]",0,0.0,0.0,3,5,0,control,28,female,False,,15.7,mortgage,True,2,1
7,7,mortgage,3,"[7, 4, 1]",0,0.0,0.0,3,5,0,control,28,female,False,,15.7,mortgage,True,2,1
8,0,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,23,female,False,,10.2,mortgage,True,2,1
8,1,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,23,female,False,,10.2,mortgage,True,2,1
8,2,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,23,female,False,,10.2,mortgage,True,2,1
8,3,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,23,female,False,,10.2,mortgage,True,2,1
8,4,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,23,female,False,,10.2,mortgage,True,2,1
8,5,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,23,female,False,,10.2,mortgage,True,2,1
8,6,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,23,female,False,,10.2,mortgage,True,2,1
8,7,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,23,female,False,,10.2,mortgage,True,2,1
9,0,mortgage,3,"[1, 6, 5]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,29,male,False,,13.4,mortgage,True,1,1
9,1,mortgage,3,"[1, 3, 8]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,29,male,False,,13.4,mortgage,True,1,1
9,2,mortgage,3,"[0, 3, 6]",0,0.0,0.0,3,5,0,control,29,male,False,,13.4,mortgage,True,1,1
9,3,mortgage,3,"[0, 5, 7]",1,0.3333333333333333,0.3333333333333333,3,5,0,control,29,male,False,,13.4,mortgage,True,1,1
9,4,mortgage,3,"[0, 1, 3]",0,0.0,0.0,3,5,0,control,29,male,False,,13.4,mortgage,True,1,1
9,5,mortgage,3,"[8, 6, 4]",1,0.3333333333333333,0.3333333333333333,3,5,0,control,29,male,False,,13.4,mortgage,True,1,1
9,6,mortgage,3,"[0, 4, 8]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,29,male,False,,13.4,mortgage,True,1,1
