pid,condition,conditionType,status,sanityFail,totalTime,gender,age,mortgagePrompt,pref0_3,pref0_6,pref6_9,pref6_12,idf0_3_hyp,idf0_6_hyp,idf6_9_hyp,idf6_12_hyp,PB3_hyp,PB6_hyp,idf0_3_exp,idf0_6_exp,idf6_9_exp,idf6_12_exp,PB3_exp,PB6_exp,numPB,MLcheatTrials,MLclicksNumber,trainingTrials
10,0,no-training,4,1,12.0,male,39,"{'Q0': 'would calculate the total cost', 'Q1': 'which ever cost the least over the full term'}","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]",0.047619047619047616,0.2777777777777778,0.06666666666666667,0.027777777777777776,0,1,0.9564655913861946,0.8491906647824764,0.9564655913861946,0.9779905885979653,0,1,8,0,0,[]
11,0,no-training,4,0,13.5,man,58,"{'Q0': 'I would choose the cheapest the next 19 years', 'Q1': 'I would like to know what i paying over a longer period so I can plan'}","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]",0.1111111111111111,0.05555555555555555,0.14285714285714285,0.05,0,1,0.9085602964160698,0.9531842929969365,0.933127789204312,0.9659853980285168,1,1,14,0,0,[]
12,0,no-training,4,0,11.6,male,38,"{'Q0': 'I would likely consider which loan has the best (lowest) interest rate over the remaining 19 year period of the term.', 'Q1': 'Because a mortgage is a long-term product, I would decide based on what would be my lowest borrowing cost for the longest period.'}","[1, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",0.022222222222222223,0.038461538461538464,0.0,0.0,1,1,0.9787169102922159,0.9659853980285168,1.0,1.0,1,1,4,0,0,[]
13,0,no-training,4,0,13.0,Female,41,"{'Q0': 'I would evaluate the three interest rates and conditions.', 'Q1': 'I would chose the one that provides me more security and certaint about getting my goal. To have a home by myself.'}","[1, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]",0.3333333333333333,0.16666666666666666,0.14285714285714285,0.08333333333333333,1,1,0.7937005259840998,0.8908987181403393,0.933127789204312,0.9531842929969365,1,1,19,0,0,[]
14,0,no-training,4,0,11.8,Female,26,"{'Q0': 'I would look at them carefully and consider the possibility of paying the mortgage back early. (Paying back as soon as possible and being debt free is my goal with regards to a mortgage anyway.) I would calculate the rates of interest and overall cost for the next 19 years and choose which one is the cheapest and has the least fees/penalties for early repayment.', 'Q1': 'By examining them carefully and considering the overall cost, including early repayments.'}","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,[]
15,0,no-training,4,0,9.7,Female,19,"{'Q0': 'I would calculate which one will be value for money and whether or not i will be able to earn enough to pay it off. I would pick the one in the first month.', 'Q1': 'I like to get things over and done with and therefore pick the short one as i would not need to worry about it later.'}","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 0, 0]",0.0,0.023809523809523808,0.0,0.027777777777777776,0,0,1.0,0.9779905885979653,1.0,0.9779905885979653,0,0,4,0,0,[]
16,0,no-training,4,0,8.8,male,19,"{'Q0': 'work out the value added by interest for each term', 'Q1': 'By working out the difference and working the opportunity cost'}","[1, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",0.022222222222222223,0.023809523809523808,0.02564102564102564,0.0,0,1,0.9787169102922159,0.9779905885979653,0.9787169102922159,1.0,0,1,4,0,0,[]
17,0,no-training,4,0,12.2,male,75,"{'Q0': 'the lowest of rates.', 'Q1': 'Common sense.'}","[1, 1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]",0.2,0.1,0.3333333333333333,0.25,0,0,0.8549879733383485,0.9246555971486619,0.9085602964160698,0.9246555971486619,1,0,19,0,0,[]
18,0,no-training,4,0,10.2,female ,50,"{'Q0': 'I would pick the one that was best for my situation at the time', 'Q1': 'by comparing all my options '}","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]",0.1111111111111111,0.05555555555555555,296.1851851854079,0.08333333333333333,0,0,0.9085602964160698,0.9531842929969365,0.8549879733383485,0.9531842929969365,0,0,17,0,0,[]
19,0,no-training,4,1,11.1,Male,38,"{'Q0': 'I would see which one is more cost effective and would be cheaper overall for me.', 'Q1': 'By working out my total repayment and seeing which would cost me the least.'}","[0, 0, 0, 0, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 1, 1, 1]",2.3333333333333335,0.2777777777777778,296.1851851854079,333.25000000018474,0,0,0.5,0.8491906647824764,0.5,0.7071067811865476,0,0,22,0,0,[]
