pid,condition,condition_type,beginHit,beginExp,endHit,totalTime,attempts,genEdu,comEdu,age,gender,qUnd,qDes,feedback,cheatTrials,status,numberClicks,rews_exp,rews_exp_total,rews_exp_mean,scores,pa_mean,pa_complete,pa_et
30,0,flowchart,2020-09-28 22:01:02.66054,2020-09-28 22:04:37.345762,2020-09-28 22:07:37.461583,6.3,1,College degree,No,37,Male,Yes,Only click what's indicated. Don't click any more than that.,,0,4,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[-51, 45, 21, 21, 21, 21, -27, 45, 45, 45]",186.0,18.6,"[-49, 39, 23, 25, 17, 13, -23, 45, 33, 51]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,0,flowchart,2020-09-28 22:10:40.4034,2020-09-28 22:13:59.560037,2020-09-28 22:18:23.958029,7.5,1,High school graduate,No,22,male,"Yes, I tried to click the nodes that led to more positive numbers",I would tell them to pick the root node(the bottom one) to see which route is best. Then move on from there.,,0,4,"[12, 9, 10, 6, 8, 8, 8, 8, 8, 6]","[-40, -31, 38, 42, 12, 40, 40, 28, 18, 36]",183.0,18.3,"[-48, -31, 38, 42, 12, 40, 40, 28, 16, 36]",0.4434,"[0.308, 0.4, 0.364, 0.571, 0.444, 0.444, 0.444, 0.444, 0.444, 0.571]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,0,flowchart,2020-09-28 22:01:33.784341,2020-09-28 22:05:57.21385,2020-09-28 22:09:29.007316,7.7,1,College degree,Yes,26,Female,"I think so! It was telling me to click on the unobserved nodes in the first layer to see what they said, and they choose the one that was highest/not negative.","Explore all the first row options, and make your decision based on what's the highest or at least not negative.",,0,4,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[21, 21, 45, 21, 21, 21, 45, 45, 21, 21]",282.0,28.2,"[13, 21, 39, 15, 29, 33, 35, 35, 15, 23]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,0,flowchart,2020-09-28 22:02:43.329779,2020-09-28 22:07:29.576088,2020-09-28 22:11:41.018501,8.7,1,College degree,Yes,48,male,yes,click uncovered nodes to plot your path,,0,4,"[12, 12, 12, 12, 8, 12, 6, 9, 6, 12]","[26, 20, 36, 14, 50, 12, 36, 33, 48, 36]",311.0,31.1,"[26, 20, 36, 14, 50, 12, 36, 33, 48, 30]",0.3834,"[0.308, 0.308, 0.308, 0.308, 0.444, 0.308, 0.571, 0.4, 0.571, 0.308]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,0,flowchart,2020-09-28 22:04:19.416,2020-09-28 22:08:46.908625,2020-09-28 22:12:56.967953,8.4,1,College degree,No,-,-,-,-,"I really enjoyed this HIT.  I'm not terribly good with strategy, but I understood enough to make it out of this game okay.",0,4,"[3, 12, 6, 12, 6, 6, 6, 9, 9, 6]","[45, -34, 48, 18, 24, 32, 18, 51, 39, 42]",283.0,28.3,"[45, -52, 48, 18, 24, 32, 18, 51, 39, 42]",0.5271,"[1.0, 0.308, 0.571, 0.308, 0.571, 0.571, 0.571, 0.4, 0.4, 0.571]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,0,flowchart,2020-09-28 22:03:08.835426,2020-09-28 22:09:03.127048,2020-09-28 22:14:17.50002,10.8,1,College degree,No,30,Female,"Yes, the flowchart strategy was understandable.","Click on the first row of circles to see which ones are worth the most, then use process of elimination to decide which one is the right path.","Nothing in particular, it was a fun experiment.",0,4,"[12, 3, 5, 9, 5, 5, 10, 5, 5, 10]","[14, 21, 41, 41, -25, 23, -48, 39, 41, -46]",101.0,10.1,"[14, 29, 37, 41, -33, 31, -48, 43, 33, -46]",0.5771,"[0.308, 1.0, 0.667, 0.4, 0.667, 0.667, 0.364, 0.667, 0.667, 0.364]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,0,flowchart,2020-09-28 22:05:04.684168,2020-09-28 22:10:09.261585,2020-09-28 22:15:39.786753,10.3,1,College degree,No,44,male,I believe so,"If f the node was not observable, click it. you would then be able to see the most beneficial options for advancement.",Interesting survey. Thank you for the opportunity.,0,4,"[3, 12, 6, 11, 12, 8, 12, 6, 5, 7]","[-27, 8, 32, 25, 38, 50, 8, 48, 43, 19]",244.0,24.4,"[-37, 8, 32, 25, 38, 50, 8, 48, 43, 19]",0.4629,"[1.0, 0.308, 0.571, 0.333, 0.308, 0.444, 0.308, 0.571, 0.286, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0, 2.0, 0]"
37,0,flowchart,2020-09-28 22:06:44.427659,2020-09-28 22:10:34.868429,2020-09-28 22:14:07.658497,7.2,1,College degree,No,36,Male,"Yes, it was very basic","If you haven't seen a node, click it.",The flowchart I had was not particularly helpful,0,4,"[12, 9, 12, 5, 12, 8, 9, 5, 12, 12]","[8, 51, 36, 45, 34, 18, 37, 23, -48, 46]",250.0,25.0,"[8, 51, 36, 37, 34, 18, 37, 19, -48, 46]",0.4118,"[0.308, 0.4, 0.308, 0.667, 0.308, 0.444, 0.4, 0.667, 0.308, 0.308]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,0,flowchart,2020-09-28 22:07:05.82497,2020-09-28 22:10:50.099737,2020-09-28 22:14:12.691346,6.9,1,College degree,No,38,female,Yes,The flowchart was simple; it basically said that you should click on any buttons on the first row and no other ones.,,0,4,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[45, 45, 21, 45, 21, -51, 21, 21, 45, 45]",258.0,25.8,"[43, 51, 15, 39, 33, -59, 15, 29, 47, 35]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,0,flowchart,2020-09-28 22:07:30.70744,2020-09-28 22:12:37.058895,2020-09-28 22:16:21.01604,8.4,1,High school graduate,No,32,female,Yes ,the flowchart tells you to click on something until you answer no to the question in the chart,none at this time,0,4,"[6, 4, 6, 5, 3, 5, 5, 5, 11, 5]","[12, 40, 40, 23, 45, 41, 23, 45, 39, 47]",355.0,35.5,"[12, 40, 40, 31, 51, 45, 31, 37, 39, 43]",0.5953,"[0.571, 0.143, 0.571, 0.667, 1.0, 0.667, 0.667, 0.667, 0.333, 0.667]","[0, 3.0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,0,flowchart,2020-09-28 22:09:47.140107,2020-09-28 22:13:15.679191,2020-09-28 22:16:56.430367,6.9,1,College degree,No,37,Female,Not as well as I wanted to. I didn't quite grasp it.,"Click on one and not the other? If the node is not touched, click on the right one?",none,10,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,"[22, 48, -38, 28, -56, -48, 42, 36, -18, 20]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]"
41,0,flowchart,2020-09-28 22:01:53.039379,2020-09-28 22:06:26.724708,2020-09-28 22:09:29.944522,7.4,1,High school graduate,No,38,Female,yes,"Click on all of the ""root"" nodes - the nodes on the bottom row - before moving the monkey.",,0,4,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[21, 45, -51, 45, 45, 45, -27, 21, 45, 45]",234.0,23.4,"[21, 33, -49, 35, 45, 47, -25, 15, 37, 39]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,0,flowchart,2020-09-28 22:36:40.523108,2020-09-28 22:39:05.446346,2020-09-28 22:42:17.222182,5.5,1,College degree,Yes,53,Male,Yes,Use the option to uncover the node in order to pick the most profitable side. ,,4,4,"[0, 2, 1, 0, 0, 0, 1, 3, 3, 4]","[0, -2, 47, 0, 0, 0, 23, 17, 29, 30]",144.0,14.4,"[-18, -36, 41, 12, 28, -26, 35, 15, 33, 30]",0.1667,"[0.0, 0.5, 0.25, 0.0, 0.0, 0.0, 0.25, 0.167, 0.167, 0.333]","[4.0, 2.0, 3.0, 4.0, 4.0, 4.0, 3.0, 3.0, 3.0, 2.0]"
