pid,condition,conditionType,status,bonus,timeTracking,totalTime,attemptsQuiz1,gender,age,qConfusing,qFollowStrategy,feedback,MLcheatTrials,MLclicksNumber,RTcheatTrials,RTclicksNumber,RTclicksNumberMean,RTscores,RTscoresMean,RTscoresExp,RTscoresExpMean,prompts,ML_pa_mean,ML_pa_complete,RT_pa_mean,RT_pa_complete,RT_et_complete,RT_pa_meanFH,RT_pa_meanFT
0,1,Supported Training,2,0.0,"[15.4, 0]",,2,-,-,-,-,-,0,"[12, 10, 12, 10, 6, 8, 4, 8, 12, 8]",0,,,"""[320, 405, 405]""",376.6667,,,[],0.9,"[0.8333333333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.6666666666666666, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0]","[0, 0, 0]",1.0,1.0
1,1,Supported Training,3,1.21,"[5.9, 15.6]",15.8,1,Female,30,"No, they were very clear. ",-,,0,"[6, 4, 5, 5, 5, 1, 5, 4, 4, 5]",0,,,"""[195, 575, 450, 420, 255, 360, 190, 415]""",357.5,,,[],1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.5208,"[0.5, 0.5, 0.0, 0.6666666666666666, 0.5, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]","[0, 0, 0, 0, 0, 0, 0, 0]",0.4167,0.5
2,1,Supported Training,3,1.71,"[15.0, 29.4]",29.6,3,male,57,"No, easy to figure out",-,,0,"[4, 2, 3, 3, 5, 1, 4, 5, 1, 1]",0,,,"""[220, 245, 245, 450, 220, 215, 385, 315]""",286.875,,,[],0.95,"[0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.5417,"[0.3333333333333333, 0.0, 0.3333333333333333, 0.5, 0.6666666666666666, 0.5, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.2917,0.3333
3,1,Supported Training,3,1.34,"[6.3, 13.6]",13.7,4,Female,19,No,-,,0,"[6, 1, 6, 5, 1, 3, 6, 5, 4, 5]",0,,,"""[200, 415, 270, 410, 395, 320, 335, 310]""",331.875,,,[],0.94,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.4, 1.0, 1.0]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
4,1,Supported Training,3,1.54,"[8.9, 16.7]",17.0,3,male,50,"no, but practicing made it clearer",-,,0,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]",0,,,"""[430, 235, 430, 240, 305, 165, 225, 435]""",308.125,,,[],0.9833,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.8333333333333334, 1.0, 1.0, 1.0, 1.0]",0.8542,"[1.0, 0.3333333333333333, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.7083,1.0
5,1,Supported Training,3,1.68,"[15.0, 28.0]",28.2,10,male,32,I was slightly confused by the questions section but not the task itself.,-,,1,"[0, 12, 10, 12, 12, 6, 4, 1, 4, 1]",0,,,"""[380, 210, 400, 215, 325, 240, 200, 350]""",290.0,,,[],0.8333,"[0.0, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.8125,"[1.0, 0.5, 1.0, 0.3333333333333333, 0.6666666666666666, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.7083,1.0
6,1,Supported Training,4,1.57,"[4.8, 12.1]",12.2,1,Female,20,Nothing,-,Really fun task!!,0,"[6, 6, 8, 10, 5, 12, 8, 6, 6, 6]",0,,,"""[255, 235, 355, 320, 220, 390, 275, 380]""",303.75,,,[],0.96,"[1.0, 1.0, 1.0, 1.0, 0.6, 1.0, 1.0, 1.0, 1.0, 1.0]",0.7917,"[0.0, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5833,0.0
7,1,Supported Training,4,1.46,"[15.8, 30.5]",30.8,5,Male,20,Not at all. ,-,,0,"[12, 1, 3, 2, 3, 2, 3, 6, 6, 4]",0,,,"""[215, 265, 230, 515, 390, 495, 195, 255]""",320.0,,,[],1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.8125,"[0.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.625,0.0
8,1,Supported Training,4,1.42,"[10.2, 21.6]",22.0,2,Male,34,Slightly wordy but just had to read carefully.,-,,0,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]",0,,,"""[560, 190, 235, 320, 410, 220, 505, 210]""",331.25,,,[],0.75,"[0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.5, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0]",0.5417,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.3333333333333333, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.25,0.0
9,1,Supported Training,4,1.54,"[9.0, 22.1]",22.2,1,male,28,no,-,,1,"[0, 1, 12, 12, 4, 8, 1, 10, 6, 12]",0,,,"""[530, 315, 245, 295, 360, 155, 225, 360]""",310.625,,,[],0.8,"[0.0, 1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 0.6666666666666666, 1.0]",0.6875,"[0.0, 0.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.375,0.0
10,1,Supported Training,4,1.6,"[7.6, 13.8]",13.9,2,Male,43,No,-,,0,"[1, 4, 2, 5, 5, 1, 5, 5, 2, 1]",0,,,"""[500, 215, 310, 415, 200, 200, 275, 280]""",299.375,,,[],0.95,"[1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.875,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.75,0.0
11,1,Supported Training,4,1.5,"[5.3, 10.7]",11.1,1,-,-,-,-,no instructions were clear,0,"[2, 4, 3, 3, 5, 4, 1, 2, 1, 6]",0,,,"""[225, 220, 210, 320, 315, 380, 520, 335]""",315.625,,,[],1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.8125,"[1.0, 1.0, 0.5, 1.0, 1.0, 0.5, 1.0, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0]",0.875,1.0
12,1,Supported Training,4,1.77,"[9.5, 20.9]",21.4,2,female,34,"No, I had a little trouble remembering whether I was supposed to click on the arrows or the circles to select a route, but that wasn't an issue with directions. ",-,,0,"[5, 2, 4, 4, 2, 6, 11, 9, 4, 3]",0,,,"""[250, 255, 285, 195, 335, 440, 275, 195]""",278.75,,,[],0.87,"[0.2, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.8333,"[0.5, 1.0, 1.0, 1.0, 1.0, 0.5, 0.6666666666666666, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.875,0.5
13,1,Supported Training,4,1.31,"[7.0, 11.7]",11.9,3,Female,40,No,-,,0,"[12, 10, 8, 2, 3, 3, 1, 3, 1, 4]",0,,,"""[215, 635, 515, 315, 155, 255, 440, 315]""",355.625,,,[],1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
14,1,Supported Training,4,1.25,"[14.6, 29.0]",29.2,1,female ,44,no,-,,0,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]",0,,,"""[295, 395, 350, 300, 440, 155, 340, 470]""",343.125,,,[],0.0333,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8229,"[0.25, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.6458,0.25
15,1,Supported Training,4,2.02,"[4.4, 14.4]",14.6,1,female,26,,-,,1,"[0, 10, 2, 2, 2, 1, 2, 1, 1, 4]",0,,,"""[350, 200, 270, 220, 200, 205, 280, 250]""",246.875,,,[],0.8333,"[0.0, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.6146,"[0.0, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 0.75, 1.0, 1.0, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0]",0.4167,0.0
16,1,Supported Training,4,1.77,"[10.5, 26.2]",26.9,1,male,35,no,-,"there are more to consider then make decision, not just money",0,"[12, 12, 12, 12, 12, 12, 12, 4, 12, 10]",0,,,"""[280, 280, 220, 225, 370, 220, 425, 205]""",278.125,,,[],0.3333,"[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.6666666666666666, 0.6666666666666666]",0.75,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5,0.0
17,1,Supported Training,4,1.42,"[5.8, 17.8]",17.9,1,Female,20,No.,-,,0,"[6, 6, 6, 2, 6, 1, 1, 5, 6, 3]",0,,,"""[190, 315, 535, 395, 385, 400, 185, 210]""",326.875,,,[],1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.3438,"[0.6666666666666666, 0.25, 0.0, 0.0, 0.3333333333333333, 0.5, 0.5, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0]",0.2292,0.6667
18,1,Supported Training,4,1.82,"[8.6, 18.2]",18.5,1,Male,29,No,-,,0,"[4, 6, 3, 6, 12, 6, 12, 9, 3, 1]",0,,,"""[395, 205, 185, 545, 220, 240, 185, 245]""",277.5,,,[],0.9333,"[0.5, 1.0, 1.0, 1.0, 0.8333333333333334, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9375,"[0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.875,0.5
19,1,Supported Training,4,1.51,"[8.8, 15.7]",15.9,2,Male,27,Not really,-,,0,"[12, 2, 3, 5, 4, 1, 1, 2, 6, 3]",0,,,"""[445, 175, 150, 320, 420, 265, 465, 250]""",311.25,,,[],1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
20,1,Supported Training,4,1.29,"[8.0, 16.6]",17.0,2,Male,36,It could be clearer that the end destinations are the most important. The ones in-between have minimal affect.,-,,0,"[7, 2, 5, 5, 2, 2, 6, 5, 2, 1]",0,,,"""[450, 475, 295, 220, 460, 250, 290, 270]""",338.75,,,[],0.9,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9583,"[0.6666666666666666, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.9167,0.6667
21,1,Supported Training,4,1.85,"[11.3, 18.2]",18.4,1,Female,35,"No, it was all very clear",-,,0,"[8, 5, 6, 4, 12, 11, 6, 7, 6, 10]",0,,,"""[190, 325, 255, 200, 255, 360, 285, 280]""",268.75,,,[],0.64,"[0.5, 0.4, 0.5, 0.5, 0.5, 1.0, 0.6666666666666666, 0.8333333333333334, 0.5, 1.0]",0.75,"[0.5, 1.0, 0.5, 1.0, 0.3333333333333333, 1.0, 0.6666666666666666, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.75,0.5
22,1,Supported Training,4,1.65,"[10.5, 22.9]",23.2,2,Female,34,Where to click to create route was unclear,-,,0,"[6, 5, 4, 8, 10, 10, 12, 8, 6, 6]",0,,,"""[255, 375, 305, 275, 160, 360, 355, 265]""",293.75,,,[],0.7333,"[1.0, 1.0, 0.5, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.5, 0.6666666666666666, 1.0, 1.0]",0.8333,"[0.5, 1.0, 1.0, 1.0, 0.6666666666666666, 1.0, 1.0, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0]",0.875,0.5
23,1,Supported Training,4,1.26,"[6.2, 14.0]",14.1,2,Male,28,No,-,,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,,,"""[270, 540, 455, 340, 355, 165, 250, 410]""",348.125,,,[],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
24,1,Supported Training,4,1.74,"[17.8, 42.0]",43.0,1,Male,33,"Yes, I believe the instructions said to use the arrows where it might be more clear to say click the arrows",-,Fun experiment ,0,"[12, 10, 12, 12, 12, 12, 12, 12, 12, 12]",0,,,"""[240, 310, 355, 225, 355, 285, 275, 220]""",283.125,,,[],0.5,"[0.3333333333333333, 1.0, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.5, 0.5]",0.9167,"[0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.8333,0.6667
25,1,Supported Training,4,1.42,"[12.8, 23.0]",23.5,3,Male,20,,-,,0,"[5, 6, 3, 3, 10, 11, 5, 6, 7, 12]",0,,,"""[260, 215, 275, 280, 300, 455, 505, 295]""",323.125,,,[],0.4433,"[0.2, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.4, 0.3333333333333333, 0.6666666666666666, 0.5]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.0,1.0
26,1,Supported Training,4,1.65,"[13.9, 25.1]",25.4,6,m,36,no pretty simple,-,nice hit,0,"[6, 4, 2, 1, 2, 2, 6, 3, 3, 3]",0,,,"""[290, 345, 375, 365, 230, 225, 320, 195]""",293.125,,,[],1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.75,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5,0.0
27,1,Supported Training,4,0.67,"[8.9, 15.7]",15.9,2,Male,29,None.,-,It was fun.,0,"[5, 4, 1, 6, 3, 6, 12, 2, 6, 2]",0,,,"""[415, 495, 455, 395, 195, 540, 510, 375]""",422.5,,,[],1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.6875,"[0.0, 0.0, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.375,0.0
28,1,Supported Training,4,1.44,"[9.7, 30.3]",30.7,1,female,55,no,-,-,0,"[1, 2, 6, 6, 1, 1, 6, 4, 1, 4]",0,,,"""[275, 345, 240, 265, 315, 180, 450, 490]""",320.0,,,[],1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.4583,"[0.3333333333333333, 0.5, 0.5, 0.3333333333333333, 0.5, 0.5, 0.6666666666666666, 0.3333333333333333]","[0, 0, 0, 0, 0, 0, 0, 0]",0.4167,0.3333
29,1,Supported Training,4,1.07,"[7.1, 14.6]",14.7,2,Female,24,"No, task was pretty straight-forward.",-,,0,"[12, 8, 10, 10, 10, 8, 12, 9, 3, 5]",0,,,"""[445, 270, 365, 410, 300, 250, 505, 390]""",366.875,,,[],0.8667,"[1.0, 1.0, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9583,"[1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.0,1.0
30,1,Supported Training,4,1.28,"[8.2, 16.0]",16.4,1,female,38,no they were very clear,-,Really enjoyed he hit- thanks,9,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,,,"""[440, 540, 215, 495, 430, 180, 265, 190]""",344.375,,,[],0.0333,"[0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
31,1,Supported Training,4,1.61,"[4.6, 10.9]",11.2,1,"Male (cisgender, assigned male at birth).",25.,"No, they were really well written. The game was really fun too, by the way!",-,"Fun game, really enjoyed it. Hope your research goes well!",0,"[8, 4, 7, 4, 2, 1, 1, 2, 2, 3]",0,,,"""[210, 220, 235, 410, 590, 245, 170, 400]""",310.0,,,[],0.825,"[0.0, 0.25, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.0,1.0
32,1,Supported Training,4,1.83,"[12.1, 20.4]",20.6,6,male,34,no easy to understand,-,i enjoyed it,0,"[1, 1, 2, 3, 3, 1, 5, 6, 1, 5]",0,,,"""[430, 245, 240, 220, 245, 180, 210, 400]""",271.25,,,[],0.54,"[1.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.4, 0.5, 1.0, 1.0]",0.8542,"[0.3333333333333333, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.7083,0.3333
33,1,Supported Training,4,0.89,"[8.3, 12.2]",12.9,1,Female,18,,-,,5,"[12, 12, 12, 11, 12, 0, 0, 0, 0, 0]",0,,,"""[385, 230, 460, 500, 270, 470, 355, 445]""",389.375,,,[],0.15,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
34,1,Supported Training,4,1.17,"[11.7, 21.8]",22.1,4,male,41,no,-,,0,"[5, 4, 2, 6, 1, 1, 2, 1, 1, 6]",0,,,"""[220, 580, 205, 340, 460, 280, 495, 330]""",363.75,,,[],1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.7917,"[0.3333333333333333, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0, 0, 0]",0.75,0.3333
35,1,Supported Training,4,1.29,"[10.0, 23.5]",24.0,1,Male,41,No,-,Interesting and engaging.,0,"[2, 10, 2, 3, 6, 6, 3, 3, 1, 1]",0,,,"""[210, 425, 240, 445, 260, 380, 330, 420]""",338.75,,,[],1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.7917,"[0.5, 0.5, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5833,0.5
36,1,Supported Training,4,1.75,"[6.6, 11.8]",12.0,2,Male,22,No,-,,0,"[3, 3, 3, 6, 5, 3, 4, 4, 2, 2]",0,,,"""[305, 320, 215, 180, 400, 250, 195, 385]""",281.25,,,[],0.6717,"[0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.8, 0.6666666666666666, 1.0, 0.75, 0.5, 1.0]",0.0625,"[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.125,0.0
37,1,Supported Training,4,1.39,"[19.8, 36.7]",37.1,1,Female,49,No,-,,0,"[11, 12, 11, 12, 8, 12, 12, 10, 12, 11]",0,,,"""[435, 180, 305, 455, 170, 300, 375, 390]""",326.25,,,[],0.85,"[1.0, 0.3333333333333333, 0.6666666666666666, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.0,1.0
38,1,Supported Training,4,1.18,"[7.1, 16.4]",16.6,2,Female,29,No,-,That was fun!,1,"[0, 2, 1, 6, 6, 3, 3, 2, 5, 1]",0,,,"""[285, 285, 410, 270, 455, 495, 440, 180]""",352.5,,,[],0.7,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.875,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.75,0.0
39,1,Supported Training,4,1.1,"[11.7, 20.9]",21.5,1,Male,46,No all good - Thanks,-,It was really a good test.,0,"[3, 2, 5, 3, 4, 2, 2, 4, 3, 6]",0,,,"""[295, 360, 390, 330, 325, 385, 485, 325]""",361.875,,,[],1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
40,1,Supported Training,4,0.66,"[21.8, 43.8]",43.9,10,Femal,33,NO,-,It was good.,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,,,"""[530, 230, 490, 460, 470, 470, 355, 370]""",421.875,,,[],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
41,1,Supported Training,4,1.7,"[9.2, 16.6]",17.2,2,Female,23,"No, everything was clear",-,,0,"[2, 9, 6, 12, 4, 1, 2, 4, 2, 2]",0,,,"""[220, 565, 300, 170, 255, 210, 235, 415]""",296.25,,,[],1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.7292,"[0.3333333333333333, 0.5, 0.5, 1.0, 1.0, 0.5, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5833,0.3333
42,1,Supported Training,4,1.68,"[9.1, 20.9]",21.2,2,Male,32,Nothing,-,,0,"[2, 4, 9, 3, 5, 1, 1, 6, 2, 6]",0,,,"""[270, 305, 255, 305, 340, 165, 180, 540]""",295.0,,,[],1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.7396,"[0.0, 0.25, 1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.4792,0.0
43,1,Supported Training,4,1.45,"[13.3, 24.9]",25.8,1,male,30,Not at all,-,,0,"[6, 10, 3, 3, 3, 4, 3, 2, 6, 1]",0,,,"""[195, 185, 310, 480, 495, 155, 360, 375]""",319.375,,,[],0.9333,"[1.0, 1.0, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.0,1.0
44,1,Supported Training,4,1.46,"[9.7, 18.5]",18.6,5,F,34,Information that the map and prices would change was a bit hidden in the instructions. ,-,,0,"[12, 10, 10, 12, 10, 10, 12, 10, 10, 6]",0,,,"""[235, 575, 205, 465, 225, 250, 400, 260]""",326.875,,,[],1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.0,1.0
45,1,Supported Training,4,0.92,"[8.1, 20.3]",21.3,1,-,-,-,-,No,0,"[7, 7, 10, 4, 6, 7, 6, 4, 4, 6]",0,,,"""[375, 290, 445, 415, 495, 280, 385, 395]""",385.0,,,[],0.25,"[0.0, 0.0, 0.0, 0.5, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5, 0.3333333333333333]",0.6875,"[0.0, 0.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5,0.0
46,1,Supported Training,4,1.49,"[7.1, 13.1]",13.2,2,Male,21,"Not really, everything was well explained and concise",-,,9,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0,,,"""[210, 200, 475, 155, 260, 345, 400, 470]""",314.375,,,[],0.1,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
47,1,Supported Training,4,1.64,"[10.8, 20.3]",21.0,4,Female,36,No it was just too much to take in at once and memorise.,-,Thanks for the opportunity - it was fun!  I did however assume that the real games were actually the training.,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,,,"""[280, 330, 225, 235, 455, 210, 425, 200]""",295.0,,,[],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.875,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.75,0.0
48,1,Supported Training,4,1.14,"[7.4, 19.1]",19.5,2,Female,28,No,-,,1,"[0, 6, 9, 6, 7, 4, 1, 6, 1, 6]",0,,,"""[285, 300, 460, 405, 530, 210, 225, 475]""",361.25,,,[],0.8,"[0.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 0.8333333333333334, 1.0, 0.6666666666666666]",0.8125,"[0.5, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.625,0.5
49,1,Supported Training,4,1.37,"[6.6, 13.0]",13.2,3,Male,57,no,-,,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,,,"""[360, 530, 230, 155, 385, 285, 315, 400]""",332.5,,,[],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
