pid,condition,conditionType,status,bonus,timeTracking,totalTime,attemptsQuiz1,gender,age,qConfusing,qFollowStrategy,feedback,MLcheatTrials,MLclicksNumber,RTcheatTrials,RTclicksNumber,RTclicksNumberMean,RTscores,RTscoresMean,RTscoresExp,RTscoresExpMean,prompts,ML_pa_mean,ML_pa_complete,RT_pa_mean,RT_pa_complete,RT_et_complete,RT_pa_meanFH,RT_pa_meanFT
12,0,control,4,1.42,"[11.5, 28.7]",29.0,2,Male,32,"Not exactly, I just should have done more research on some of the situations.",-,Fun exercise!,0,[],0,"[3, 3, 3, 2, 3, 4, 2, 5]",3.125,"""[535, 275, 235, 440, 175, 230, 495, 225]""",326.25,"[400, 325, 377.5, 367.5, 197.5, 222.5, 382.5, 232.5]",313.125,[],,[],0.4167,"[0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
13,0,control,4,1.11,"[11.8, 18.6]",18.8,2,Female,30,No,-,,0,[],0,"[2, 2, 2, 3, 2, 1, 2, 1]",1.875,"""[465, 510, 540, 335, 165, 185, 280, 460]""",367.5,"[337.5, 420, 360, 342.5, 195, 185, 332.5, 410]",322.8125,[],,[],0.5625,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.5, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.25,0.0
14,0,control,4,0.99,"[9.5, 22.2]",22.5,2,Female,27,"No, the instructions were very clear",-,,0,[],0,"[3, 3, 3, 3, 3, 3, 3, 3]",3.0,"""[520, 360, 220, 465, 295, 420, 490, 260]""",378.75,"[347.5, 355, 377.5, 437.5, 280, 442.5, 332.5, 332.5]",363.125,[],,[],0.4375,"[0.0, 0.6666666666666666, 0.5, 0.3333333333333333, 1.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.375,0.0
15,0,control,4,2.13,"[7.7, 18.1]",18.5,1,male,32,No,-,None,0,[],0,"[4, 2, 3, 4, 3, 2, 4, 1]",2.875,"""[275, 195, 220, 300, 250, 165, 230, 230]""",233.125,"[245, 195, 227.5, 292.5, 280, 187.5, 245, 222.5]",236.875,[],,[],0.8333,"[1.0, 1.0, 0.5, 1.0, 0.6666666666666666, 0.5, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.875,1.0
16,0,control,4,1.17,"[14.7, 36.4]",36.6,1,FEMALE,30,NO,-,,0,[],0,"[3, 2, 2, 1, 1, 2, 2, 1]",1.75,"""[235, 280, 525, 545, 475, 280, 280, 285]""",363.125,"[370, 360, 360, 372.5, 410, 345, 345, 335]",362.1875,[],,[],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
17,0,control,4,1.2,"[11.6, 23.3]",23.4,3,female,50,no,-,,0,[],0,"[4, 1, 1, 1, 6, 2, 2, 2]",2.375,"""[290, 230, 255, 315, 480, 455, 425, 350]""",350.0,"[290, 380, 327.5, 350, 422.5, 390, 352.5, 322.5]",354.375,[],,[],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
18,0,control,4,1.26,"[13.9, 23.4]",23.5,3,Female,29,No,-,,0,[],0,"[2, 2, 4, 2, 1, 2, 2, 3]",2.25,"""[310, 410, 475, 365, 515, 165, 225, 290]""",344.375,"[360, 360, 432.5, 337.5, 365, 210, 270, 297.5]",329.0625,[],,[],0.2083,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.6666666666666666]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
19,0,control,4,0.94,"[8.6, 15.8]",16.1,1,Male,27,No,-,This was fun! Thanks!!,0,[],0,"[5, 2, 1, 1, 1, 1, 2, 1]",1.75,"""[510, 355, 185, 440, 545, 415, 180, 485]""",389.375,"[382.5, 390, 380, 312.5, 410, 395, 330, 335]",366.875,[],,[],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
20,0,control,4,1.77,"[6.9, 13.1]",13.3,1,Male,30,"No, everything was clear.",-,,0,[],0,"[3, 3, 5, 4, 3, 4, 4, 1]",3.375,"""[520, 220, 240, 245, 265, 215, 360, 185]""",281.25,"[370, 227.5, 367.5, 245, 272.5, 417.5, 352.5, 185]",304.6875,[],,[],0.4792,"[0.0, 0.5, 0.0, 0.5, 0.3333333333333333, 0.5, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.25,0.0
21,0,control,4,1.65,"[12.4, 21.8]",22.1,3,Female,26,No,-,,0,[],0,"[4, 5, 3, 5, 5, 5, 3, 4]",4.25,"""[260, 285, 275, 345, 340, 455, 205, 185]""",293.75,"[260, 285, 275, 345, 362.5, 447.5, 205, 192.5]",296.5625,[],,[],0.7083,"[0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.4167,0.3333
