pid,condition,condition_type,beginHit,beginExp,endHit,totalTime,attempts,genEdu,comEdu,age,gender,qUnd,qDes,feedback,cheatTrials,status,numberClicks,rews_exp,rews_exp_total,rews_exp_mean,scores,pa_mean,pa_complete,pa_et
91,0,experimental,2020-02-23 19:57:04.639394,2020-02-23 20:02:03.240096,2020-02-23 20:06:16.664461,552,1,College degree,Yes,55,Male,Yes I did.,Click on highest level unobserved nodes until a 48 is revealed then traverse the tree accordingly.,,0,4,"[1, 1, 4, 1, 2, 5, 6, 5, 12, 1]","[47, 47, 44, 47, 46, 43, 42, 43, 14, 47]",420.0,42.0,"[55, 41, 48, 41, 58, 49, 32, 49, 14, 57]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
92,0,experimental,2020-02-23 19:51:42.089324,2020-02-23 20:00:27.483187,2020-02-23 20:05:04.210269,802,2,College degree,Yes,37,m,yup,find the highest reward,,0,4,"[5, 2, 1, 2, 1, 5, 6, 6, 3, 3]","[43, 46, 47, 46, 47, 43, 18, 42, 45, 45]",422.0,42.2,"[35, 40, 43, 54, 51, 33, 8, 52, 49, 33]",0.9462,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.462, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 7.0, 0, 0, 0]"
93,1,control,2020-02-23 18:38:12.133082,2020-02-23 18:40:43.085093,2020-02-23 18:43:10.039619,297,1,College degree,No,35,Male,-,-,,0,4,"[1, 1, 1, 1, 2, 1, 6, 3, 2, 1]","[3, 3, -1, 1, -2, 47, 18, 21, 22, 47]",159.0,15.9,"[19, 35, 53, -19, -46, 41, 16, 9, 28, 51]",0.3544,"[0.0, 0.0, 0.0, 0.0, 0.433, 1.0, 0.462, 0.495, 0.154, 1.0]","[4.476, 4.498, 2.803, 4.568, 2.616, 0, 7.0, 3.056, 11.0, 0]"
94,1,control,2020-02-23 18:36:18.029992,2020-02-23 18:38:51.050673,2020-02-23 18:41:26.430843,308,1,College degree,Yes,28,male,-,-,,0,4,"[6, 2, 5, 3, 6, 2, 2, 9, 4, 1]","[18, 46, 43, 45, 42, 46, 46, 19, 44, 47]",396.0,39.6,"[16, 50, 33, 45, 48, 52, 34, 21, 34, 43]",0.8539,"[0.462, 1.0, 1.0, 1.0, 0.385, 1.0, 1.0, 0.692, 1.0, 1.0]","[7.0, 0, 0, 0, 7.0, 0, 0, 4.0, 0, 0]"
95,1,control,2020-02-23 18:34:25.949401,2020-02-23 18:37:59.853601,2020-02-23 18:41:16.78039,410,1,College degree,No,49,Male,-,-,,0,4,"[3, 6, 2, 1, 1, 2, 2, 6, 9, 9]","[45, 18, 46, 47, 47, 46, 46, 42, 13, 19]",369.0,36.9,"[33, 18, 54, 47, 47, 58, 36, 32, -31, 15]",0.754,"[0.154, 0.462, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.462, 0.462]","[10.0, 7.0, 0, 0, 0, 0, 0, 0, 4.0, 4.0]"
96,1,control,2020-02-23 18:38:46.217625,2020-02-23 18:40:40.292092,2020-02-23 18:43:11.379615,265,1,College degree,No,33,male,-,-,,1,4,"[3, 0, 1, 1, 6, 1, 4, 6, 6, 6]","[-1, 0, 23, 23, 42, 47, 40, 18, 50, 42]",284.0,28.4,"[-21, -26, 29, 33, 46, 47, 36, 8, 46, 48]",0.3939,"[0.0, 0.0, 0.198, 0.198, 0.857, 1.0, 0.125, 0.462, 0.714, 0.385]","[4.463, 2.719, 4.051, 4.058, 0, 0, 4.007, 7.0, 0, 7.0]"
97,1,control,2020-02-23 18:39:00.624376,2020-02-23 18:41:36.756182,2020-02-23 18:44:12.139383,311,1,College degree,No,44,female,-,-,,5,4,"[0, 1, 3, 0, 0, 0, 1, 1, 0, 3]","[0, 1, -1, 0, 0, 0, 1, 1, 0, 1]",3.0,0.3,"[12, -51, -17, 38, -46, 30, -43, -51, 20, 45]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.269, 12.0, 4.481, 4.464, 13.0, 4.483, 4.542, 12.0, 4.455, 2.756]"
98,1,control,2020-02-23 18:35:57.074083,2020-02-23 18:40:26.59259,2020-02-23 18:44:59.500429,542,1,College degree,No,40,female,-,-,,0,4,"[4, 3, 7, 5, 2, 3, 4, 7, 3, 5]","[44, 45, 33, 47, 54, 49, 24, 17, 53, 43]",409.0,40.9,"[46, 49, 37, 43, 50, 53, 22, 9, 55, 39]",0.4069,"[0.463, 0.331, 0.42, 0.535, 0.164, 0.309, 0.231, 0.462, 0.154, 1.0]","[2.485, 3.041, 2.525, 2.478, 4.105, 3.47, 9.0, 6.0, 10.0, 0]"
99,1,control,2020-02-23 18:35:36.804944,2020-02-23 18:39:27.372263,2020-02-23 18:42:09.15026,392,1,College degree,No,32,female,-,-,,8,4,"[1, 0, 0, 0, 0, 0, 0, 0, 3, 0]","[-1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0.0,0.0,"[-49, 50, 18, -34, 24, -22, -54, -34, -43, -38]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.31, 3.224, 4.536, 3.368, 2.751, 4.493, 3.271, 4.514, 3.299, 13.0]"
100,1,control,2020-02-23 18:40:48.295206,2020-02-23 18:42:54.41459,2020-02-23 18:45:36.458107,288,1,College degree,No,36 ,f,-,-,,0,4,"[3, 5, 4, 1, 4, 4, 3, 6, 6, 2]","[45, 19, 44, 47, 20, 44, 21, 42, 18, 46]",346.0,34.6,"[33, 19, 34, 55, 32, 44, -33, 48, 18, 50]",0.7190000000000001,"[0.5, 0.385, 1.0, 1.0, 0.612, 1.0, 0.231, 1.0, 0.462, 1.0]","[0, 8.0, 0, 0, 2.537, 0, 10.0, 0, 7.0, 0]"
