pid,condition,structure,condition_type,beginHit,beginExp,endHit,totalTime,attempts,genEdu,comEdu,age,gender,qUnd,qDes,feedback,cheatTrials,status,numberClicks,rews_exp,rews_exp_total,rews_exp_mean,scores,pa_mean,pa_complete,pa_et
110,0,increasing,flowchart,2020-09-23 16:11:49.369017,2020-09-23 16:20:56.046743,2020-09-23 16:25:57.030663,13.8,2,College degree,No,25,Female,I believe so.,To use the flowchart to help you decide what options to click to get the monkey the most amount of money possible.,,0,4,"[5, 7, 9, 9, 7, 8, 3, 4, 3, 6]","[31, 41, 15, 47, 43, 40, 35, 44, 49, 34]",379.0,37.9,"[31, 41, 15, 47, 43, 40, 35, -28, 49, 34]",0.2687,"[0.333, 0.375, 0.3, 0.261, 0.25, 0.182, 0.145, 0.32, 0.167, 0.354]","[0, 0, 0, 2.493, 0, 3.003, 3.919, 2.246, 2.982, 2.475]"
111,0,increasing,flowchart,2020-09-23 16:15:28.980833,2020-09-23 16:21:27.906778,2020-09-23 16:25:07.418368,9.5,2,College degree,No,41,Female,Yes ,Start with the leafs and find the highest value then proceed from there,,0,4,"[7, 12, 5, 10, 2, 5, 1, 5, 3, 11]","[41, 12, 51, 20, 46, 43, 47, 43, 45, 15]",363.0,36.3,"[41, 12, 13, 20, 54, 33, 41, 33, 49, 15]",0.6538,"[0.25, 0.615, 0.5, 0.308, 1.0, 0.833, 1.0, 0.667, 0.75, 0.615]","[0, 0, 0, 3.0, 0, 0, 0, 0, 0, 2.0]"
112,0,increasing,flowchart,2020-09-23 16:09:17.23546,2020-09-23 16:23:02.873341,2020-09-23 16:29:43.451615,20.1,2,College degree,No,63,female,yes,"to follow arrows straight up unless getting a 48, then go opposite direction",it was interesting. Also I have no code to paste in window (to be noted when I return to other window),10,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,"[-54, 40, -30, -20, -18, -34, -16, 50, -60, 18]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.749, 3.375, 3.395, 3.326, 3.344, 2.742, 3.327, 2.722, 3.301, 2.152]"
113,0,increasing,flowchart,2020-09-23 16:16:04.952361,2020-09-23 16:23:21.65486,2020-09-23 16:30:39.908442,14.1,1,College degree,No,41,female,No,"Click on some stuff until you find the highest number, don't click on it if you don't have to",,0,4,"[8, 12, 7, 9, 12, 6, 12, 9, 6, 11]","[48, 46, 47, 35, 18, 42, 42, 15, 16, 25]",334.0,33.4,"[48, 46, 47, 35, 18, 42, 42, 15, -54, 25]",0.3233,"[0.087, 0.308, 0.25, 0.3, 0.385, 0.286, 0.538, 0.348, 0.231, 0.5]","[3.506, 0, 0, 0, 0, 0, 0, 2.489, 2.672, 0]"
114,0,increasing,flowchart,2020-09-23 16:15:01.768755,2020-09-23 16:24:11.169029,2020-09-23 16:29:23.381674,13.8,1,College degree,No,65,Female,Yes,Uncover nodes on the final level until you select 48.  Navigate the monkey up the tree to that node.,No,0,4,"[4, 3, 6, 6, 6, 6, 3, 1, 6, 3]","[44, 41, 18, 18, 42, 42, 45, 47, 18, 45]",360.0,36.0,"[38, 39, 24, 24, 50, 52, 41, 47, 16, 33]",0.6756,"[0.6, 0.351, 0.385, 0.385, 0.571, 0.857, 0.75, 1.0, 0.857, 1.0]","[0, 2.693, 7.0, 7.0, 0, 0, 0, 0, 0, 0]"
115,0,increasing,flowchart,2020-09-23 16:16:54.537431,2020-09-23 16:24:45.193666,2020-09-23 16:30:51.871954,10.9,1,High school graduate,No,-,-,-,-,"When I went to type in my answers it knocked me out to the almost last page: Here are my answers: ""The flowchart didn't help much but it would have been better to just go with path of least resistance."" Explain to a friend: ""Start with the top find the best number if multiple reveal the entire tree for best results Gain will always outweigh loss"" I am 35 and I am a male.",0,4,"[8, 10, 10, 7, 8, 10, 10, 12, 8, 8]","[50, 34, 50, 13, 44, 44, 40, 14, 40, 46]",375.0,37.5,"[50, 34, 50, 15, 44, 44, 40, 14, 40, 46]",0.3695,"[0.231, 0.308, 0.385, 0.385, 0.231, 0.385, 0.385, 0.769, 0.231, 0.385]","[5.0, 3.0, 3.0, 6.0, 5.0, 3.0, 3.0, 0, 5.0, 5.0]"
116,0,increasing,flowchart,2020-09-23 16:19:27.737701,2020-09-23 16:24:47.984043,2020-09-23 16:34:54.739104,15.1,1,College degree,Yes,40,Female,"Not really, no.  It seemed that though you start by selecting all 3 nodes of level one and determine the highest value, you could still end up with a low value on level 2.  The previous level does not indicate that the following level with hold a high value. It is random and following the diagram does not guarantee a high value.","Click the unobserved nodes on level one. From there, determine which node has the highest value and then click the corresponding node on level two.  If a high number, continue by selecting a node on level 3 which seems more like a 50/50 chance of guessing a high number. Or you could simply click all the nodes to see which route gains you the highest value.",,0,4,"[6, 6, 12, 12, 12, 6, 12, 12, 12, 5]","[0, -4, 36, 36, 32, 4, 44, 26, 38, 25]",237.0,23.7,"[-24, -28, 36, 36, 32, -20, 44, 26, 38, 25]",0.2181,"[0.0, 0.0, 0.308, 0.308, 0.385, 0.0, 0.308, 0.308, 0.231, 0.333]","[2.424, 3.316, 0, 0, 0, 3.392, 0, 0, 0, 0]"
117,0,increasing,flowchart,2020-09-23 16:18:37.581157,2020-09-23 16:25:08.126658,2020-09-23 16:30:35.905979,11.8,1,College degree,No,-,-,-,-,"When I got to the end I started to fill out a question about whether or not I understood the strategy, and it immediately switched screens before I had a chance to answer that question, or any other questions on that page.  ",0,4,"[3, 6, 1, 12, 2, 6, 1, 2, 2, 6]","[45, 18, 47, 12, 46, 18, 47, 46, 46, 42]",367.0,36.7,"[45, 16, 43, 12, 54, 24, 47, 52, 48, 42]",0.8109999999999999,"[1.0, 0.308, 1.0, 0.846, 1.0, 0.385, 1.0, 1.0, 1.0, 0.571]","[0, 7.0, 0, 0, 0, 7.0, 0, 0, 0, 0]"
118,0,increasing,flowchart,2020-09-23 16:21:56.252608,2020-09-23 16:27:06.413419,2020-09-23 16:31:36.878395,9.4,1,College degree,No,36,m,mostly. ,follow the instructions to get the most money,,0,4,"[4, 1, 1, 2, 1, 1, 2, 2, 9, 3]","[2, 47, 47, 46, 47, 47, 46, 46, 23, 45]",396.0,39.6,"[-46, 57, 55, 58, 37, 47, 52, 48, 27, 53]",0.8129,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.667, 1.0, 0.462, 1.0]","[3.38, 0, 0, 0, 0, 0, 0, 0, 4.0, 0]"
119,0,increasing,flowchart,2020-09-23 16:07:44.414755,2020-09-23 16:21:08.642168,2020-09-23 16:25:34.632064,17.4,2,College degree,No,39,female,I dont think i did until the end,i am not sure i understood it enough to describe it to a friend other than click on all the nodes and take the loss.,,5,4,"[3, 0, 0, 0, 0, 0, 3, 3, 3, 12]","[1, 0, 0, 0, 0, 0, -5, -1, 1, 44]",40.0,4.0,"[-19, -42, -40, 20, -12, -56, -21, -17, -19, 44]",0.0308,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.308]","[3.269, 3.359, 2.733, 2.148, 3.361, 3.394, 2.405, 2.418, 2.764, 0]"
120,0,increasing,flowchart,2020-09-23 16:17:41.315805,2020-09-23 16:27:13.531405,2020-09-23 16:29:49.345266,12.0,4,College degree,No,18,Male,Yes,No.,,0,4,"[4, 3, 3, 8, 7, 3, 7, 8, 3, 3]","[34, 25, 51, 16, 19, 27, 49, 26, 27, 31]",305.0,30.5,"[34, 25, 51, -22, 19, 27, 49, 26, 27, 31]",0.4686,"[0.6, 0.5, 0.5, 0.231, 0.5, 0.5, 0.299, 0.556, 0.5, 0.5]","[0, 0, 0, 5.0, 0, 0, 3.018, 0, 0, 0]"
121,0,increasing,flowchart,2020-09-23 16:07:33.295002,2020-09-23 16:12:26.225901,2020-09-23 16:17:06.285956,9.3,1,High school graduate,No,53,female,I thought I did while reading the instructions but it didn't make as much sense trying to actually use it in the game.,"Based on the flow chart's instructions, you are directed whether or not to click depending upon what answer the discovered node(s) give you.",,10,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,"[-34, -60, -34, -50, 50, -56, 42, 24, 54, -40]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.417, 3.378, 3.339, 3.35, 2.778, 4.478, 2.405, 2.709, 2.709, 2.782]"
122,0,increasing,flowchart,2020-09-23 16:06:51.368078,2020-09-23 16:11:14.998687,2020-09-23 16:14:26.721998,7.4,1,College degree,No,27,Male,"Yes, generally. 48 is the highest number so I should be aiming to get that number and climb to it. ",You must uncover the highest number possible at the top of the tree and climb to it,,0,4,"[2, 4, 1, 3, 2, 3, 4, 1, 1, 1]","[22, 44, 47, 21, 22, 45, 44, 47, 47, 47]",386.0,38.6,"[28, 40, 53, 23, 18, 47, 56, 53, 37, 41]",0.7727,"[0.214, 1.0, 1.0, 0.75, 0.213, 0.75, 0.8, 1.0, 1.0, 1.0]","[2.666, 0, 0, 0, 2.687, 0, 0, 0, 0, 0]"
123,0,increasing,flowchart,2020-09-23 15:45:24.918747,2020-09-23 15:52:01.990326,2020-09-23 15:55:35.062989,9.7,2,College degree,No,48,female,Yes. It was helpful to find the high reward and then the other spots didn't need to be clicked.,Click on the top level until you find 48 and then go that route.,,0,4,"[4, 4, 3, 3, 3, 6, 1, 1, 4, 2]","[44, 44, 45, 45, 45, 18, 47, 47, 44, 46]",425.0,42.5,"[48, 38, 45, 47, 57, 24, 51, 37, 48, 52]",0.7885,"[0.6, 0.6, 1.0, 0.75, 0.75, 0.385, 1.0, 1.0, 0.8, 1.0]","[0, 0, 0, 0, 0, 7.0, 0, 0, 0, 0]"
124,0,increasing,flowchart,2020-09-23 15:47:09.010335,2020-09-23 15:54:43.469511,2020-09-23 16:00:41.140246,13.3,3,High school graduate,No,24,Male,"I found the ""is it on the highest level"" confusing. Does that mean I should click on every circle in the highest level?",Consult the flowchart to decide which circles to click and reveal the path you should take for the highest rewards.,,0,4,"[12, 12, 12, 12, 12, 12, 12, 12, 6, 10]","[10, 32, 42, 38, 38, 36, 42, 48, 42, 50]",378.0,37.8,"[10, 32, 42, 38, 38, 36, 42, 48, 48, 50]",0.5538,"[0.538, 0.385, 0.231, 0.692, 0.769, 0.692, 0.692, 0.846, 0.308, 0.385]","[0, 0, 0, 0, 0, 0, 0, 0, 7.0, 3.0]"
125,0,increasing,flowchart,2020-09-23 15:47:49.703646,2020-09-23 15:54:51.91088,2020-09-23 15:59:58.11096,11.8,1,College degree,No,42,Male,It took several rounds to fully understand. It was not as clear as I would have liked.,"Click the highest level until you find a 48. As soon as you find the 48, stop clicking and send the monkey to that number.",,0,4,"[3, 3, 5, 9, 6, 6, 5, 2, 3, 2]","[5, 45, 43, 19, 42, 18, 43, 46, 45, 46]",352.0,35.2,"[-39, 41, 43, 17, 50, 18, 49, 36, 57, 54]",0.5752,"[0.0, 0.5, 0.667, 0.462, 0.571, 0.385, 0.5, 0.667, 1.0, 1.0]","[2.739, 0, 0, 4.0, 0, 7.0, 0, 0, 0, 0]"
126,0,increasing,flowchart,2020-09-23 15:49:20.592943,2020-09-23 15:56:57.898108,2020-09-23 16:08:30.76829,18.4,1,College degree,No,25,Female,"Yes, I did understand although sparingly.",Click one of the nodes in the highest level to know which node to take the monkey to.,The study was clear and concise.,0,4,"[4, 1, 1, 1, 1, 1, 1, 3, 1, 2]","[48, -1, -1, 23, 23, 47, 23, 21, 23, 46]",252.0,25.2,"[38, -29, 11, -49, -55, -43, -31, 23, 13, -56]",0.7463,"[0.4, 0.25, 0.313, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0]","[0, 3.005, 2.19, 0, 0, 0, 0, 0, 0, 0]"
127,0,increasing,flowchart,2020-09-23 15:50:42.322352,2020-09-23 15:57:49.072764,2020-09-23 16:02:58.189535,12.0,1,College degree,No,31,female,"I didn't at first, but I think I did by the end.",Click only the ending level and stop once you get a 48. Use that path.,,0,4,"[7, 6, 6, 9, 5, 4, 4, 2, 1, 2]","[23, 14, 6, 35, 41, 46, 44, 46, 47, 46]",348.0,34.8,"[23, 14, 30, 11, 17, 42, 50, 54, 41, 52]",0.4941,"[0.104, 0.286, 0.118, 0.3, 0.333, 0.4, 0.4, 1.0, 1.0, 1.0]","[2.633, 0, 2.466, 0, 0, 0, 0, 0, 0, 0]"
128,0,increasing,flowchart,2020-09-23 15:56:44.905587,2020-09-23 16:00:00.068174,2020-09-23 16:03:06.864607,6.2,1,College degree,No,28,female,Not exactly ,Follow the nodes based on the current node points,,10,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,"[-34, 54, -60, 22, -24, 22, 46, 20, 34, -42]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.734, 2.182, 2.744, 3.341, 2.783, 2.751, 2.789, 2.75, 2.7, 3.327]"
129,0,increasing,flowchart,2020-09-23 15:56:25.132649,2020-09-23 16:00:55.992824,2020-09-23 16:04:22.215248,7.4,1,College degree,No,32,Female,Not especially.,I'm not sure as I didn't feel it was clearly explained.,,0,4,"[3, 1, 1, 2, 2, 6, 3, 6, 2, 3]","[-7, 47, 47, 46, 46, 42, 45, 18, 46, 45]",375.0,37.5,"[37, 55, 53, 52, 52, 52, 39, 24, 58, 35]",0.7249,"[0.0, 1.0, 1.0, 0.667, 0.667, 0.857, 1.0, 0.308, 1.0, 0.75]","[3.322, 0, 0, 0, 0, 0, 0, 7.0, 0, 0]"
130,0,increasing,flowchart,2020-09-23 15:55:16.725058,2020-09-23 16:01:26.727498,2020-09-23 16:04:27.16888,9.0,2,College degree,No,30,Male,Yes.,Try to find the one worth 48 and click on that one. ,,0,4,"[4, 2, 2, 4, 12, 2, 5, 1, 6, 1]","[48, 46, 46, 44, 24, 46, 43, 47, 18, 47]",409.0,40.9,"[50, 36, 46, 46, 18, 40, 37, 41, 24, 57]",0.7688,"[0.4, 0.667, 1.0, 0.8, 0.769, 0.667, 1.0, 1.0, 0.385, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 7.0, 0]"
131,0,increasing,flowchart,2020-09-23 16:01:08.311892,2020-09-23 16:11:33.000972,2020-09-23 16:15:29.310926,14.1,2,College degree,No,24,female,click the nodes to see which one had the highest number,click on the nodes to see the highest number,,0,4,"[7, 10, 8, 6, 2, 6, 5, 4, 6, 9]","[45, 44, 48, 42, 46, 18, 43, 44, 18, 19]",367.0,36.7,"[47, 44, 48, 42, 40, 24, 45, 50, 16, 21]",0.5271,"[0.154, 0.231, 0.385, 0.231, 1.0, 1.0, 0.5, 1.0, 0.308, 0.462]","[6.0, 3.0, 5.0, 7.0, 0, 0, 0, 0, 7.0, 4.0]"
132,0,increasing,flowchart,2020-09-23 15:58:19.660158,2020-09-23 16:02:01.548482,2020-09-23 16:06:22.21616,7.8,1,College degree,No,36,Male,Yes. Only click on the highest level nodes.,Only click on the highest level. The most you will get is $48 so that's what you're looking for. Everything else will result in less of a reward.,,0,4,"[7, 7, 6, 1, 3, 2, 1, 3, 2, 3]","[47, 41, 46, 47, 45, 22, 47, 45, 46, 45]",431.0,43.1,"[47, 41, 50, 59, 41, 20, 37, 49, 52, 53]",0.6778,"[0.25, 0.25, 0.429, 1.0, 1.0, 0.182, 1.0, 1.0, 0.667, 1.0]","[0, 0, 0, 0, 0, 3.498, 0, 0, 0, 0]"
133,0,increasing,flowchart,2020-09-23 15:58:26.469402,2020-09-23 16:03:51.066292,2020-09-23 16:08:44.149921,10.0,1,High school graduate,No,-,-,-,-,,0,4,"[1, 2, 1, 2, 2, 2, 6, 6, 6, 2]","[47, 46, 47, 46, 46, 46, 42, 18, 18, 46]",402.0,40.2,"[47, 40, 51, 36, 52, 46, 38, 30, 24, 58]",0.8546,"[1.0, 1.0, 1.0, 0.667, 1.0, 1.0, 0.857, 0.714, 0.308, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 7.0, 0]"
134,0,increasing,flowchart,2020-09-23 15:58:01.673202,2020-09-23 16:05:58.042443,2020-09-23 16:11:50.522745,13.3,1,High school graduate,No,52,Female,I sort of understood it,Follow what the directions tell you to do by answering the questions it asks you about the nodes,Even though I understood the directions and what to do I actually really did not get it for some reason I need to try this again  Ugh,10,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,"[24, -42, 54, -48, 30, -30, -60, -44, -28, -50]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.383, 4.465, 3.263, 2.425, 3.317, 2.708, 3.262, 3.278, 2.758, 2.782]"
135,0,increasing,flowchart,2020-09-23 16:01:02.584887,2020-09-23 16:07:03.682912,2020-09-23 16:14:07.87261,12.8,1,College degree,No,31,male,"Yes, I think so","I'd tell the friend that you want to see if the nodes in the second tier reveal a 4 or and 8. If they do, DO NOT reveal the top node. If they do not, reveal the top node. Then take the path with the highest rewards.",,0,4,"[7, 3, 9, 7, 7, 9, 9, 5, 4, 7]","[13, 5, 35, 33, 33, 35, 35, 39, 40, 13]",281.0,28.1,"[17, 33, 33, 35, 37, 37, 31, 37, 38, 15]",0.3046,"[0.222, 0.0, 0.4, 0.625, 0.5, 0.3, 0.308, 0.137, 0.4, 0.154]","[2.0, 2.375, 0, 0, 0, 0, 4.0, 2.28, 0, 6.0]"
136,0,increasing,flowchart,2020-09-23 15:49:35.797174,2020-09-23 16:07:31.990072,2020-09-23 16:14:36.750865,10.3,1,High school graduate,No,22,Female.,I did for the most part.,I would say try to understand the clues of the chart the best you can and also don't be afraid to turn over the nodes to reveal the amounts behind them.,No comments. Thank you for allowing me to participate! I enjoyed this game and would love to be a part of any future tasks that you may offer! ,0,4,"[4, 5, 4, 2, 4, 2, 8, 5, 5, 7]","[48, 39, 52, 50, 52, 54, 32, 43, 43, 25]",438.0,43.8,"[48, 37, 48, 46, 52, 52, 30, 47, 33, 29]",0.4704,"[0.6, 0.25, 0.266, 0.667, 0.133, 0.667, 0.556, 0.667, 0.667, 0.231]","[0, 2.986, 3.53, 0, 3.505, 0, 0, 0, 0, 6.0]"
137,0,increasing,flowchart,2020-09-23 15:57:17.72456,2020-09-23 16:08:18.385581,2020-09-23 16:14:04.71208,16.6,2,College degree,Yes,65,male,yes,find 48 or at least 24 on the level 3 and go to this leaf,18 min is too long,0,4,"[1, 4, 12, 1, 4, 5, 6, 2, 6, 6]","[47, 18, 14, 47, 44, 43, 18, 46, 18, 18]",313.0,31.3,"[41, 18, 14, 51, 48, 43, 24, 54, 18, 24]",0.6628,"[1.0, 0.149, 0.462, 1.0, 0.8, 0.667, 0.857, 1.0, 0.308, 0.385]","[0, 2.71, 0, 0, 0, 0, 0, 0, 7.0, 7.0]"
138,0,increasing,flowchart,2020-09-23 15:56:52.253696,2020-09-23 16:09:25.200781,2020-09-23 16:15:28.449368,18.2,2,High school graduate,No,46, male,Not really,Get around the wordiness of it and check the numbers at the very top. When you see a 48 stop clicking and get too it,For an mturk job that was fun. Thanks  :),1,4,"[0, 4, 11, 4, 5, 6, 1, 2, 1, 6]","[0, 4, 11, 40, 43, 18, 47, 46, 47, 42]",298.0,29.8,"[44, -16, 11, 44, 55, 24, 47, 44, 53, 50]",0.5127,"[0.0, 0.0, 0.385, 0.077, 0.833, 0.308, 1.0, 0.667, 1.0, 0.857]","[3.361, 4.475, 2.0, 9.0, 0, 7.0, 0, 0, 0, 0]"
139,0,increasing,flowchart,2020-09-23 16:01:31.722159,2020-09-23 16:10:23.986105,2020-09-23 16:18:52.352078,16.8,1,College degree,No,57,female,not really...not really sure which level to start on,read carefully the instructions,,0,4,"[7, 6, 12, 10, 10, 10, 10, 10, 10, 8]","[41, 42, 38, 20, 44, 30, 38, 38, 38, 40]",369.0,36.9,"[23, 46, 2, 20, 20, 8, 8, 26, 32, 4]",0.3457,"[0.308, 0.231, 0.308, 0.462, 0.615, 0.455, 0.231, 0.308, 0.308, 0.231]","[6.0, 7.0, 0, 3.0, 3.0, 0, 3.0, 3.0, 3.0, 5.0]"
140,0,increasing,flowchart,2020-09-23 16:06:26.327154,2020-09-23 16:11:08.393087,2020-09-23 16:14:46.99249,8.1,1,College degree,No,26,male,Yes,"Click the tier 3 nodes until you get a 48, then follow thatpath",,0,4,"[3, 1, 6, 4, 4, 1, 1, 1, 4, 4]","[45, 47, 42, 44, 44, 47, 47, 47, 44, 44]",451.0,45.1,"[47, 53, 32, 44, 38, 47, 37, 41, 50, 44]",0.8464,"[0.75, 1.0, 0.714, 0.6, 0.8, 1.0, 1.0, 1.0, 0.6, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
